iso_code,continent,location,date,new_cases,new_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,new_tests_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,stringency_index
FRA,Europe,France,3/1/2020,30,0.445,0.03,3.01,0,0,0,0,0,0.0000,34.72
FRA,Europe,France,3/2/2020,61,0.905,0.044,3,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/3/2020,21,0.311,0.059,3,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/4/2020,76,1.127,0.059,3.03,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/5/2020,138,2.047,0.104,3.06,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/6/2020,190,2.818,0.133,3.03,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/7/2020,332,4.924,0.237,3.01,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/8/2020,177,2.625,0.282,2.94,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/9/2020,286,4.242,0.371,2.87,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/10/2020,372,5.517,0.489,2.83,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/11/2020,510,7.564,0.712,2.78,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/12/2020,0,0,0.712,2.73,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/13/2020,1385,20.542,1.172,2.73,0,0,0,0,0,0.0000,43.98
FRA,Europe,France,3/14/2020,815,12.088,1.35,2.65,0,0,0,0,0,0.0000,49.54
FRA,Europe,France,3/15/2020,36,0.534,1.35,2.58,0,0,0,0,0,0.0000,49.54
FRA,Europe,France,3/16/2020,2151,31.904,2.21,2.55,0,0,0,0,0,0.0000,56.94
FRA,Europe,France,3/17/2020,1032,15.307,2.21,2.45,0,0,0,0,0,0.0000,87.96
FRA,Europe,France,3/18/2020,1409,20.898,2.21,2.35,11.435,44.081,0,0,0,0.0000,87.96
FRA,Europe,France,3/19/2020,1841,27.306,3.619,2.27,14.862,60.411,0,0,0,0.0000,87.96
FRA,Europe,France,3/20/2020,1783,26.445,6.689,2.18,19.237,77.512,0,0,0,0.0000,87.96
FRA,Europe,France,3/21/2020,1699,25.199,8.35,2.12,21.551,87.509,0,0,0,0.0000,87.96
FRA,Europe,France,3/22/2020,2295,34.039,10.026,2.07,24.829,103.141,0,0,0,0.0000,87.96
FRA,Europe,France,3/23/2020,3355,49.761,12.785,2,30.85,128.638,0,0,0,0.0000,87.96
FRA,Europe,France,3/24/2020,2243,33.268,16.345,1.93,37.124,150.737,0,0,0,0.0000,87.96
FRA,Europe,France,3/25/2020,2955,43.828,19.771,1.87,43.532,179.051,0,0,0,0.0000,87.96
FRA,Europe,France,3/26/2020,3916,58.082,25.17,1.81,49.702,205.853,0,0,0,0.0000,87.96
FRA,Europe,France,3/27/2020,3792,56.243,29.605,1.74,55.738,232.877,0,0,0,0.0000,87.96
FRA,Europe,France,3/28/2020,4648,68.939,34.321,1.69,62.828,260.746,0,0,0,0.0000,87.96
FRA,Europe,France,3/29/2020,2603,38.608,38.682,1.63,68.108,286.42,0,0,0,0.0000,87.96
FRA,Europe,France,3/30/2020,4343,64.415,44.867,1.57,74.99,310.67,0,0,0,0.0000,87.96
FRA,Europe,France,3/31/2020,7635,113.242,52.297,1.52,81.516,336.27,0,0,0,0.0000,87.96
FRA,Europe,France,4/1/2020,4843,71.831,70.882,1.44,88.102,364.021,0,0,0,0.0000,87.96
FRA,Europe,France,4/2/2020,2100,31.147,79.915,1.36,93.515,387.574,0,0,0,0.0000,87.96
FRA,Europe,France,4/3/2020,5223,77.467,96.556,1.3,97.238,404.942,0,0,0,0.0000,87.96
FRA,Europe,France,4/4/2020,0,0,112.159,1.24,99.715,415.339,0,0,0,0.0000,87.96
FRA,Europe,France,4/5/2020,846,12.548,119.857,1.19,101.732,426.374,0,0,0,0.0000,87.96
FRA,Europe,France,4/6/2020,2658,39.423,132.212,1.14,103.052,438.566,0,0,0,0.0000,87.96
FRA,Europe,France,4/7/2020,0,0,153.214,1.09,103.883,443.045,0,0,0,0.0000,87.96
FRA,Europe,France,4/8/2020,3851,57.118,161.283,1.04,104.105,448.177,0,0,0,0.0000,87.96
FRA,Europe,France,4/9/2020,3784,56.124,181.157,0.99,102.889,453.976,0,0,0,0.0000,87.96
FRA,Europe,France,4/10/2020,1566,23.227,195.767,0.94,101.97,461.392,0,0,0,0.0000,87.96
FRA,Europe,France,4/11/2020,1445,21.432,205.2,0.91,100.145,462.149,0,0,0,0.0000,87.96
FRA,Europe,France,4/12/2020,50745,752.648,213.521,0.88,99.582,469.654,0,0,0,0.0000,87.96
FRA,Europe,France,4/13/2020,3139,46.558,222.02,0.85,99.226,473.911,0,0,0,0.0000,87.96
FRA,Europe,France,4/14/2020,17448,258.788,233.04,0.83,97.876,476.566,0,0,0,0.0000,87.96
FRA,Europe,France,4/15/2020,3207,47.566,254.368,0.79,93.901,469.031,0,0,0,0.0000,87.96
FRA,Europe,France,4/16/2020,12578,186.556,265.536,0.76,91.053,462.342,0,0,0,0.0000,87.96
FRA,Europe,France,4/17/2020,1891,28.047,276.824,0.72,87.835,460.695,0,0,0,0.0000,87.96
FRA,Europe,France,4/18/2020,3804,56.421,286.331,0.69,85.032,452.597,0,0,0,0.0000,87.96
FRA,Europe,France,4/19/2020,1094,16.226,292.101,0.67,83.712,452.167,0,0,0,0.0000,87.96
FRA,Europe,France,4/20/2020,2446,36.279,300.214,0.65,82.822,451.811,0,0,0,0.0000,87.96
FRA,Europe,France,4/21/2020,2666,39.542,308.045,0.64,79.114,444.721,0,0,0,0.0000,87.96
FRA,Europe,France,4/22/2020,1798,26.668,316.113,0.64,76.043,439.426,0,0,0,0.0000,87.96
FRA,Europe,France,4/23/2020,0,0,323.767,0.64,73.67,431.803,0,0,0,0.0000,87.96
FRA,Europe,France,4/24/2020,2811,41.693,329.536,0.65,70.971,423.512,0,0,0,0.0000,87.96
FRA,Europe,France,4/25/2020,1678,24.888,335.009,0.65,68.835,417.06,0,0,0,0.0000,87.96
FRA,Europe,France,4/26/2020,633,9.389,338.614,0.66,68.197,416.986,0,0,0,0.0000,87.96
FRA,Europe,France,4/27/2020,3686,54.671,345.095,0.67,67.129,414.612,0,0,0,0.0000,87.96
FRA,Europe,France,4/28/2020,3131,46.439,350.538,0.66,65.142,409.466,0,0,0,0.0000,87.96
FRA,Europe,France,4/29/2020,0,0,356.857,0.65,61.226,396.547,0,0,0,0.0000,87.96
FRA,Europe,France,4/30/2020,1218,18.065,361.143,0.64,58.542,388.479,0,0,0,0.0000,87.96
FRA,Europe,France,5/1/2020,526,7.802,364.362,0.63,56.643,382.798,0,0,0,0.0000,87.96
FRA,Europe,France,5/2/2020,792,11.747,367.284,0.63,55.916,381.938,0,0,0,0.0000,87.96
FRA,Europe,France,5/3/2020,361,5.354,369.286,0.64,55.798,381.76,0,0,0,0.0000,87.96
FRA,Europe,France,5/4/2020,562,8.336,373.825,0.65,53.973,377.8,0,0,0,0.0000,87.96
FRA,Europe,France,5/5/2020,1115,16.538,378.764,0.66,50.058,366.364,0,0,0,0.0000,87.96
FRA,Europe,France,5/6/2020,4136,61.345,382.842,0.67,45.905,354.662,0,0,0,0.0000,87.96
FRA,Europe,France,5/7/2020,741,10.99,385.497,0.64,43.176,343.197,0,0,0,0.0000,87.96
FRA,Europe,France,5/8/2020,531,7.876,389.087,0.62,41.826,336.048,0,0,0,0.0000,87.96
FRA,Europe,France,5/9/2020,528,7.831,390.273,0.62,40.996,334.416,0,0,0,0.0000,87.96
FRA,Europe,France,5/10/2020,249,3.693,391.311,0.62,40.462,333.749,0,0,0,0.0000,87.96
FRA,Europe,France,5/11/2020,315,4.672,395.212,0.61,39.542,329.551,0,0,0,0.0000,76.85
FRA,Europe,France,5/12/2020,753,11.168,400.374,0.62,37.021,319.332,0,0,0,0.0000,76.85
FRA,Europe,France,5/13/2020,521,7.727,401.634,0.62,35.374,311.605,0.587,0,0,0.0000,76.85
FRA,Europe,France,5/14/2020,642,9.522,406.84,0.63,33.461,302.587,0.63,0,0,0.0000,76.85
FRA,Europe,France,5/15/2020,513,7.609,408.353,0.66,32.067,293.688,0.714,0,0,0.0000,76.85
FRA,Europe,France,5/16/2020,415,6.155,409.807,0.69,31.014,287.325,0.247,0,0,0.0000,76.85
FRA,Europe,France,5/17/2020,140,2.076,416.971,0.72,30.361,286.286,0.099,0,0,0.0000,76.85
FRA,Europe,France,5/18/2020,444,6.585,418.884,0.76,29.041,281.155,0.769,0,0,0.0000,76.85
FRA,Europe,France,5/19/2020,501,7.431,415.666,0.79,27.498,273.041,0.791,0.021,47.6,0.0000,76.85
FRA,Europe,France,5/20/2020,481,7.134,417.312,0.83,26.015,265.225,0.796,0.021,47.6,0.0000,76.85
FRA,Europe,France,5/21/2020,267,3.96,418.528,0.87,25.333,259.96,0.145,0.02,50,0.0000,76.85
FRA,Europe,France,5/22/2020,756,11.213,420.723,0.94,24.68,256.993,0.755,0.019,52.6,0.0000,76.85
FRA,Europe,France,5/23/2020,546,8.098,421.999,1,24.146,253.953,0.283,0.019,52.6,0.0000,76.85
FRA,Europe,France,5/24/2020,0,0,420.812,1.06,23.998,254.057,0.107,0.019,52.6,0.0000,76.85
FRA,Europe,France,5/25/2020,325,4.82,422.132,1.13,23.316,248.317,0.77,0.017,58.8,0.0000,76.85
FRA,Europe,France,5/26/2020,255,3.782,424.164,1.19,22.53,240.411,0.802,0.016,62.5,0.0000,75
FRA,Europe,France,5/27/2020,173,2.566,424.179,1.27,21.758,231.779,0.693,0.015,66.7,0.0000,75
FRA,Europe,France,5/28/2020,3342,49.568,425.173,1.36,20.691,224.778,0.662,0.015,66.7,0.0000,75
FRA,Europe,France,5/29/2020,594,8.81,425.929,1.32,19.697,217.184,0.735,0.014,71.4,0.0000,75
FRA,Europe,France,5/30/2020,1794,26.609,426.775,1.27,19.178,212.527,0.302,0.014,71.4,0.0000,75
FRA,Europe,France,5/31/2020,232,3.441,427.234,1.21,19.089,211.667,0.127,0.014,71.4,0.0000,75
FRA,Europe,France,6/1/2020,406,6.022,427.709,1.15,18.837,211.163,0.149,0.015,66.7,0.0000,75
FRA,Europe,France,6/2/2020,0,0,429.281,1.1,18.11,207.321,0.728,0.015,66.7,0.0000,72.22
FRA,Europe,France,6/3/2020,0,0,430.483,1.06,17.487,199.712,0.666,0.015,66.7,0.0000,72.22
FRA,Europe,France,6/4/2020,4360,64.667,431.15,1.02,16.805,193.616,0.616,0.015,66.7,0.0000,72.22
