location,date,new_cases_per_million,stringency_index,reproduction_rate
France,3/1/2020,0.445,34.72,3.01
France,3/2/2020,0.905,43.98,3
France,3/3/2020,0.311,43.98,3
France,3/4/2020,1.127,43.98,3.03
France,3/5/2020,2.047,43.98,3.06
France,3/6/2020,2.818,43.98,3.03
France,3/7/2020,4.924,43.98,3.01
France,3/8/2020,2.625,43.98,2.94
France,3/9/2020,4.242,43.98,2.87
France,3/10/2020,5.517,43.98,2.83
France,3/11/2020,7.564,43.98,2.78
France,3/12/2020,0,43.98,2.73
France,3/13/2020,20.542,43.98,2.73
France,3/14/2020,12.088,49.54,2.65
France,3/15/2020,0.534,49.54,2.58
France,3/16/2020,31.904,56.94,2.55
France,3/17/2020,15.307,87.96,2.45
France,3/18/2020,20.898,87.96,2.35
France,3/19/2020,27.306,87.96,2.27
France,3/20/2020,26.445,87.96,2.18
France,3/21/2020,25.199,87.96,2.12
France,3/22/2020,34.039,87.96,2.07
France,3/23/2020,49.761,87.96,2
France,3/24/2020,33.268,87.96,1.93
France,3/25/2020,43.828,87.96,1.87
France,3/26/2020,58.082,87.96,1.81
France,3/27/2020,56.243,87.96,1.74
France,3/28/2020,68.939,87.96,1.69
France,3/29/2020,38.608,87.96,1.63
France,3/30/2020,64.415,87.96,1.57
France,3/31/2020,113.242,87.96,1.52
France,4/1/2020,71.831,87.96,1.44
France,4/2/2020,31.147,87.96,1.36
France,4/3/2020,77.467,87.96,1.3
France,4/4/2020,0,87.96,1.24
France,4/5/2020,12.548,87.96,1.19
France,4/6/2020,39.423,87.96,1.14
France,4/7/2020,0,87.96,1.09
France,4/8/2020,57.118,87.96,1.04
France,4/9/2020,56.124,87.96,0.99
France,4/10/2020,23.227,87.96,0.94
France,4/11/2020,21.432,87.96,0.91
France,4/12/2020,752.648,87.96,0.88
France,4/13/2020,46.558,87.96,0.85
France,4/14/2020,258.788,87.96,0.83
France,4/15/2020,47.566,87.96,0.79
France,4/16/2020,186.556,87.96,0.76
France,4/17/2020,28.047,87.96,0.72
France,4/18/2020,56.421,87.96,0.69
France,4/19/2020,16.226,87.96,0.67
France,4/20/2020,36.279,87.96,0.65
France,4/21/2020,39.542,87.96,0.64
France,4/22/2020,26.668,87.96,0.64
France,4/23/2020,0,87.96,0.64
France,4/24/2020,41.693,87.96,0.65
France,4/25/2020,24.888,87.96,0.65
France,4/26/2020,9.389,87.96,0.66
France,4/27/2020,54.671,87.96,0.67
France,4/28/2020,46.439,87.96,0.66
France,4/29/2020,0,87.96,0.65
France,4/30/2020,18.065,87.96,0.64
France,5/1/2020,7.802,87.96,0.63
France,5/2/2020,11.747,87.96,0.63
France,5/3/2020,5.354,87.96,0.64
France,5/4/2020,8.336,87.96,0.65
France,5/5/2020,16.538,87.96,0.66
France,5/6/2020,61.345,87.96,0.67
France,5/7/2020,10.99,87.96,0.64
France,5/8/2020,7.876,87.96,0.62
France,5/9/2020,7.831,87.96,0.62
France,5/10/2020,3.693,87.96,0.62
France,5/11/2020,4.672,76.85,0.61
France,5/12/2020,11.168,76.85,0.62
France,5/13/2020,7.727,76.85,0.62
France,5/14/2020,9.522,76.85,0.63
France,5/15/2020,7.609,76.85,0.66
France,5/16/2020,6.155,76.85,0.69
France,5/17/2020,2.076,76.85,0.72
France,5/18/2020,6.585,76.85,0.76
France,5/19/2020,7.431,76.85,0.79
France,5/20/2020,7.134,76.85,0.83
France,5/21/2020,3.96,76.85,0.87
France,5/22/2020,11.213,76.85,0.94
France,5/23/2020,8.098,76.85,1
France,5/24/2020,0,76.85,1.06
France,5/25/2020,4.82,76.85,1.13
France,5/26/2020,3.782,75,1.19
France,5/27/2020,2.566,75,1.27
France,5/28/2020,49.568,75,1.36
France,5/29/2020,8.81,75,1.32
France,5/30/2020,26.609,75,1.27
France,5/31/2020,3.441,75,1.21
France,6/1/2020,6.022,75,1.15
France,6/2/2020,0,72.22,1.1
France,6/3/2020,0,72.22,1.06
France,6/4/2020,64.667,72.22,1.02
France,6/5/2020,8.617,72.22,0.97
France,6/6/2020,8.484,72.22,0.93
France,6/7/2020,5.058,72.22,0.9
France,6/8/2020,4.064,72.22,0.87
France,6/9/2020,8.187,72.22,0.85
France,6/10/2020,9.27,72.22,0.84
France,6/11/2020,5.399,72.22,0.83
France,6/12/2020,11.88,72.22,0.84
France,6/13/2020,7.371,72.22,0.85
France,6/14/2020,5.784,72.22,0.86
France,6/15/2020,2.017,72.22,0.86
France,6/16/2020,9.834,72.22,0.88
France,6/17/2020,7.253,72.22,0.89
France,6/18/2020,8.692,72.22,0.9
France,6/19/2020,11.673,72.22,0.92
France,6/20/2020,9.181,72.22,0.93
France,6/21/2020,5.087,72.22,0.94
